chapter_number,chapter_title,article_number,article_title,content
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,11,Giấy chứng nhận giáo viên dạy lái xe và thẩm quyền cấp,"1. Sở Xây dựng cấp Giấy chứng nhận giáo viên dạy thực hành lái xe cho giáo viên thuộc các cơ sở đào tạo lái xe trên địa bàn và các cá nhân đáp ứng đủ tiêu chuẩn quy định tại khoản 2 Điều 10 của Nghị định này.
2. Giấy chứng nhận giáo viên dạy thực hành lái xe theo mẫu quy định tại Mẫu số 01 và Mẫu số 02 Phụ lục III kèm theo Nghị định này."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,12,Thủ tục cấp giấy chứng nhận giáo viên dạy thực hành lái xe,"1. Hồ sơ cấp giấy chứng nhận giáo viên dạy thực hành lái xe bao gồm:
a) Đơn đề nghị theo mẫu quy định tại Phụ lục IV kèm theo Nghị định này;
b) Bằng tốt nghiệp trung cấp chuyên nghiệp hoặc trung cấp nghề trở lên (bản sao kèm bản chính để đối chiếu hoặc bản sao có chứng thực hoặc bản sao điện tử được chứng thực từ bản chính hoặc bản sao điện tử từ sổ gốc hoặc dữ liệu điện tử);
c) Văn bằng, chứng chỉ về trình độ nghiệp vụ sư phạm (bản sao kèm bản chính để đối chiếu hoặc bản sao có chứng thực hoặc bản sao điện tử được chứng thực từ bản chính hoặc bản sao điện tử từ sổ gốc hoặc dữ liệu điện tử);
d) 01 ảnh màu cỡ 3 cm x 4 cm nền màu xanh, kiểu thẻ căn cước, được chụp trong thời gian không quá 06 tháng.
Trường hợp giấy tờ quy định tại điểm b, điểm c khoản này đã được tích hợp vào tài khoản định danh điện tử thì việc xuất trình, kiểm tra có thể thực hiện thông qua tài khoản định danh điện tử.
2. Trình tự thực hiện
a) Tập huấn về nghiệp vụ giáo viên dạy thực hành lái xe
Cá nhân có nhu cầu cấp giấy chứng nhận giáo viên dạy thực hành lái xe lần đầu đăng ký với cơ sở đào tạo lái xe.
Cơ sở đào tạo lái xe tổ chức tập huấn theo chương trình tập huấn về nghiệp vụ giáo viên dạy thực hành lái xe theo quy định tại Phụ lục II kèm theo Nghị định này và bảo đảm tiêu chuẩn, thành phần hồ sơ đối với người tham dự tập huấn theo quy định tại khoản 2 Điều 10 và khoản 1 Điều này của Nghị định này;
b) Kiểm tra, đánh giá cấp giấy chứng nhận giáo viên dạy thực hành lái xe
Trong thời hạn không quá 02 ngày làm việc kể từ ngày kết thúc chương trình tập huấn, cơ sở đào tạo có văn bản đề nghị kiểm tra cấp giấy chứng nhận giáo viên dạy thực hành lái xe theo mẫu quy định tại Phụ lục V kèm theo Nghị định này và hồ sơ của cá nhân tham dự tập huấn quy định tại khoản 1 Điều này gửi Trung tâm Phục vụ hành chính công cấp tỉnh, cấp xã bằng hình thức trực tiếp hoặc qua dịch vụ bưu chính hoặc qua cổng dịch vụ công quốc gia.
Cơ quan có thẩm quyền cấp giấy chứng nhận giáo viên dạy thực hành lái xe tiếp nhận danh sách do cơ sở đào tạo lập và hồ sơ cá nhân; trường hợp hồ sơ chưa đầy đủ, chính xác, trong thời hạn không quá 02 ngày làm việc (kể cả thời gian xác thực điện tử thông tin về giấy phép lái xe) phải có văn bản nêu rõ nội dung, lý do đề nghị cơ sở đào tạo lái xe bổ sung đầy đủ, chính xác; trường hợp hồ sơ đầy đủ, chính xác, trong thời hạn không quá 03 ngày làm việc (kể cả thời gian xác thực điện tử thông tin về giấy phép lái xe), phải tổ chức kiểm tra, đánh giá theo quy trình quy định tại Phụ lục II kèm theo Nghị định này. Trường hợp cá nhân không đạt kết quả kiểm tra, cơ quan có thẩm quyền cấp giấy chứng nhận giáo viên dạy thực hành lái xe phải đăng tải kết quả trên Hệ thống thông tin giải quyết thủ tục chính cấp tỉnh, cấp xã; trường hợp cá nhân đạt kết quả kiểm tra, trong thời hạn không quá 02 ngày làm việc, cơ quan có thẩm quyền cấp giấy chứng nhận giáo viên dạy thực hành lái xe cấp giấy chứng nhận giáo viên dạy thực hành lái xe và vào sổ theo dõi theo mẫu quy định tại Phụ lục VI kèm theo Nghị định này.
Kết quả giải quyết thủ tục hành chính được trả bằng bản điện tử có giá trị như bản giấy bằng một trong các hình thức: qua VNeiD, Cổng Dịch vụ công quốc gia, Hệ thống thông tin giải quyết thủ tục chính cấp tỉnh, cấp xã; trường hợp cá nhân có nhu cầu nhận bản giấy thì được cấp bổ sung."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,13,Thủ tục cấp lại giấy chứng nhận giáo viên dạy thực hành lái xe,"1. Giấy chứng nhận giáo viên dạy thực hành lái xe được cấp lại trong trường hợp bị mất hoặc bị hỏng hoặc có sự thay đổi về nội dung: thay đổi họ, tên đệm, tên, số căn cước, ngày tháng năm sinh
a) Hồ sơ đề nghị cấp lại trong trường hợp bị mất, bị hỏng bao gồm các thành phần quy định tại điểm a và điểm d khoản 1 Điều 12 của Nghị định này;
b) Hồ sơ đề nghị cấp lại trong trường hợp có sự thay đổi về nội dung bao gồm các thành phần quy định tại điểm a và điểm d khoản 1 Điều 12 của Nghị định này và tài liệu liên quan đến nội dung thay đổi tương ứng, cụ thể như sau: thay đổi tên của cá nhân đề nghị cấp giấy chứng nhận giáo viên dạy thực hành lái xe: bản sao kèm bản chính để đối chiếu hoặc bản sao có chứng thực hoặc bản sao điện tử được chứng thực từ bản chính hoặc bản sao điện tử từ sổ gốc hoặc dữ liệu điện tử hộ tịch của cấp có thẩm quyền về việc đổi tên, thay đổi ngày tháng năm sinh.
Trường hợp giấy tờ quy định tại điểm b khoản này đã được tích hợp vào tài khoản định danh điện tử thì việc xuất trình, kiểm tra có thể thực hiện thông qua tài khoản định danh điện tử.
2. Trình tự thực hiện
a) Cá nhân lập 01 bộ hồ sơ gửi tại Trung tâm Phục vụ hành chính công cấp tỉnh, cấp xã bằng hình thức trực tiếp hoặc qua dịch vụ bưu chính hoặc qua cổng dịch vụ công quốc gia;
b) Cơ quan có thẩm quyền cấp lại giấy chứng nhận giáo viên dạy thực hành lái xe tiếp nhận hồ sơ của cá nhân; trường hợp hồ sơ chưa đầy đủ, trong thời gian không quá 02 ngày làm việc (kể cả thời gian xác thực điện tử thông tin thay đổi của cá nhân) phải có văn bản hướng dẫn cá nhân hoàn thiện lại theo quy định; trường hợp hồ sơ đầy đủ, hợp lệ, trong thời gian không quá 02 ngày làm việc (kể cả thời gian xác thực điện tử thông tin thay đổi của cá nhân) phải cấp giấy chứng nhận giáo viên dạy thực hành lái xe và vào sổ theo dõi theo mẫu quy định tại Phụ lục VI kèm theo Nghị định này;
c) Kết quả giải quyết thủ tục hành chính được trả bằng bản điện tử có giá trị như bản giấy bằng một trong các hình thức: qua VNeiD, Cổng Dịch vụ công quốc gia, Hệ thống thông tin giải quyết thủ tục chính cấp tỉnh, cấp xã; trường hợp cá nhân có nhu cầu nhận bản giấy thì được cấp bổ sung."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,14,Thu hồi giấy chứng nhận giáo viên dạy thực hành lái xe,"1. Giấy chứng nhận giáo viên dạy thực hành lái xe bị thu hồi trong các trường hợp sau:
a) Có hành vi gian lận để được tham dự tập huấn và kiểm tra để được giấy chứng nhận giáo viên dạy thực hành lái xe;
b) Cấp cho người không đủ một trong các tiêu chuẩn quy định tại khoản 2 Điều 10 của Nghị định này;
c) Do cơ quan hoặc người không có thẩm quyền cấp;
d) Bị tẩy xóa, sửa chữa;
đ) Cho cơ sở đào tạo khác thuê, mượn để sử dụng hoặc cho tổ chức, cá nhân khác thuê, mượn để sử dụng.
2. Trình tự thực hiện thu hồi:
a) Trong thời hạn 05 ngày làm việc kể từ ngày phát hiện hành vi vi phạm quy định tại khoản 1 Điều này, cơ quan có thẩm quyền ban hành quyết định thu hồi và công bố trên Cổng Dịch vụ công quốc gia, Hệ thống thông tin giải quyết thủ tục chính cấp tỉnh, cấp xã; đồng thời cập nhật hết hiệu lực đối với giấy chứng nhận giáo viên dạy thực hành lái xe cấp bằng hình thức điện tử;
b) Người được cấp giấy chứng nhận giáo viên dạy thực hành lái xe phải nộp lại giấy chứng nhận cho cơ quan cấp, đồng thời dừng tham gia giảng dạy ngay sau khi cơ quan có thẩm quyền phát hiện hành vi vi phạm. Trong trường hợp cơ quan cấp đã sáp nhập, chia tách, giải thể hoặc không còn thẩm quyền cấp, thu hồi giấy chứng nhận giáo viên dạy thực hành lái xe thì người được cấp giấy chứng nhận giáo viên dạy thực hành lái xe phải nộp lại giấy chứng nhận giáo viên dạy thực hành lái xe cho cơ quan đã ban hành quyết định thu hồi.
3. Xử lý đối với trường hợp bị thu hồi giấy chứng nhận giáo viên dạy thực hành lái xe
Giấy chứng nhận giáo viên dạy thực hành lái xe bị thu hồi theo quy định tại điểm a khoản 1 Điều này, cơ quan có thẩm quyền cấp giấy chứng nhận giáo viên dạy thực hành lái xe cập nhật dữ liệu về hành vi vi phạm trên hệ thống thông tin kể từ ngày có quyết định thu hồi; ngoài ra, người có hành vi vi phạm phải chịu trách nhiệm trước pháp luật và không được cấp giấy chứng nhận giáo viên dạy thực hành lái xe trong thời hạn 05 năm, kể từ ngày bị thu hồi giấy chứng nhận giáo viên dạy thực hành lái xe; nếu có nhu cầu cấp lại giấy chứng nhận giáo viên dạy thực hành lái xe phải tập huấn và kiểm tra lại như trường hợp cấp giấy chứng nhận giáo viên dạy thực hành lái xe lần đầu."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,15,Giấy phép xe tập lái và thẩm quyền cấp giấy phép xe tập lái,"1. Sở Xây dựng cấp giấy phép xe tập lái cho xe tập lái của cơ sở đào tạo do địa phương quản lý theo mẫu quy định tại Mẫu số 01, Mẫu số 02 Phụ lục VII kèm theo Nghị định này; giấy phép xe tập lái có hiệu lực tương ứng với thời hạn hiệu lực ghi trên giấy chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường xe cơ giới nhưng không vượt quá thời hạn sử dụng hợp pháp đối với xe tập lái.
2. Giấy phép xe tập lái được cấp ngay sau khi kiểm tra cấp giấy phép đào tạo lái xe và cấp bổ sung trong quá trình hoạt động; giấy phép xe tập lái được cấp lại trong trường hợp bị mất, bị hỏng hoặc thay đổi các thông tin trong giấy phép: tên cơ sở đào tạo, biển số xe, màu sơn."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,16,"Thủ tục bổ sung xe tập lái, cấp lại giấy phép xe tập lái","1. Hồ sơ bao gồm:
a) Danh sách đề nghị cấp giấy phép xe tập lái theo mẫu quy định tại Phụ lục VIII kèm theo Nghị định này;
b) Đối với xe tập lái không thuộc quyền sở hữu của cơ sở đào tạo lái xe thì xuất trình bản sao kèm bản chính để đối chiếu hoặc bản sao có chứng thực hoặc bản sao điện tử được chứng thực từ bản chính hoặc dữ liệu điện tử Giấy tờ chứng minh quyền sử dụng hợp pháp.
2. Trình tự thực hiện
a) Cơ sở đào tạo gửi 01 bộ hồ sơ theo quy định tại khoản 1 Điều này tại Trung tâm Phục vụ hành chính công cấp tỉnh, cấp xã bằng hình thức trực tiếp hoặc qua dịch vụ bưu chính hoặc qua cổng dịch vụ công quốc gia;
b) Cơ quan có thẩm quyền cấp giấy phép xe tập lái tiếp nhận, kiểm tra tính đầy đủ của hồ sơ; trường hợp hồ sơ chưa đầy đủ, trong thời gian không quá 02 ngày làm việc (kể cả thời gian xác thực điện tử thông tin về xe tập lái, gồm: Chứng nhận đăng ký xe, giấy chứng nhận chất lượng an toàn kỹ thuật và bảo vệ môi trường xe cơ giới) phải hướng dẫn tổ chức, cá nhân hoàn thiện lại theo quy định; trường hợp hồ sơ đầy đủ, hợp lệ, trong thời gian không quá 02 ngày làm việc (kể cả thời gian xác thực điện tử thông tin về xe tập lái, gồm: Chứng nhận đăng ký xe, giấy chứng nhận chất lượng an toàn kỹ thuật và bảo vệ môi trường xe cơ giới) phải cấp giấy phép xe tập lái cho cơ sở đào tạo. Trường hợp không cấp, phải trả lời bằng văn bản và nêu rõ lý do;
c) Kết quả giải quyết thủ tục hành chính được trả bằng bản điện tử có giá trị như bản giấy bằng một trong các hình thức: qua VNeiD, Cổng Dịch vụ công quốc gia, Hệ thống thông tin giải quyết thủ tục chính cấp tỉnh, cấp xã; trường hợp cá nhân có nhu cầu nhận bản giấy thì được cấp bổ sung;
d) Cơ quan có thẩm quyền cấp giấy phép xe tập lái lập sổ theo dõi cấp giấy phép xe tập lái theo mẫu quy định tại Phụ lục IX kèm theo Nghị định này."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,17,Thu hồi giấy phép xe tập lái,"1. Giấy phép xe tập lái bị thu hồi trong các trường hợp sau:
a) Cấp cho xe tập lái không đáp ứng một trong điều kiện quy định tại khoản 2 Điều 9 của Nghị định này;
b) Bị tẩy xóa, sửa chữa;
c) Để cho tổ chức, cá nhân khác sử dụng vào mục đích đào tạo lái xe;
d) Cơ sở đào tạo lái xe giải thể hoặc bị thu hồi giấy phép đào tạo;
đ) Theo đề nghị của cơ sở đào tạo;
e) Xe tập lái trong cùng một thời điểm sử dụng từ 02 thiết bị DAT trở lên để truyền dữ liệu DAT hoặc sử dụng dữ liệu được truyền từ thiết bị DAT của xe tập lái khác.
2. Trình tự thực hiện thu hồi:
a) Trong thời hạn 05 ngày làm việc kể từ ngày phát hiện hành vi vi phạm quy định tại điểm a, điểm b, điểm c, điểm d và điểm e khoản 1 Điều này hoặc theo đề nghị của cơ sở đào tạo, cơ quan có thẩm quyền ban hành quyết định thu hồi và công bố trên Cổng Dịch vụ công quốc gia hoặc hệ thống thông tin giải quyết thủ tục chính cấp tỉnh, cấp xã; đồng thời cập nhật hết hiệu lực đối với giấy phép xe tập lái cấp bằng hình thức điện tử.
b) Trường hợp thu hồi giấy phép xe tập lái theo đề nghị của cơ sở đào tạo thực hiện theo trình tự sau:
Cơ sở đào tạo gửi văn bản đề nghị thu hồi xe tập lái đến Trung tâm Phục vụ hành chính công cấp tỉnh, cấp xã bằng hình thức trực tiếp hoặc qua dịch vụ bưu chính hoặc qua cổng dịch vụ công quốc gia; trong thời hạn 05 ngày làm việc kể từ ngày nhận được văn bản đề nghị của cơ sở đào tạo, cơ quan có thẩm quyền ban hành quyết định thu hồi và công bố trên Cổng Dịch vụ công quốc gia hoặc qua Hệ thống thông tin giải quyết thủ tục chính cấp tỉnh, cấp xã;
c) Cơ sở đào tạo lái xe được cấp giấy phép xe tập lái phải dừng sử dụng xe tập lái đã bị thu hồi giấy phép xe tập lái trong hoạt động giảng dạy ngay sau khi cơ quan có thẩm quyền phát hiện hành vi vi phạm, đồng thời nộp lại giấy phép xe tập lái cho cơ quan cấp ngay sau khi quyết định thu hồi giấy phép xe tập lái có hiệu lực. Trong trường hợp cơ quan cấp đã sáp nhập, chia tách, giải thể hoặc không còn thẩm quyền cấp, thu hồi giấy phép xe tập lái thì cơ sở đào tạo lái xe phải nộp lại giấy phép xe tập lái cho cơ quan đã ban hành quyết định thu hồi."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,18,Giấy phép đào tạo lái xe ô tô và thẩm quyền cấp giấy phép đào tạo lái xe ô tô,"1. Sở Xây dựng cấp giấy phép đào tạo lái xe ô tô cho cơ sở đào tạo lái xe ô tô trên địa bàn đáp ứng đủ điều kiện quy định tại Điều 6, Điều 7, Điều 8 và Điều 9 của Nghị định này.
2. Giấy phép đào tạo lái xe ô tô theo mẫu quy định tại Mẫu số 01 và Mẫu số 02 Phụ lục X kèm theo Nghị định này."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,19,Thủ tục cấp giấy phép đào tạo lái xe ô tô,"1. Hồ sơ bao gồm:
a) Báo cáo đề nghị cấp giấy phép đào tạo lái xe theo mẫu quy định tại Phụ lục XI kèm theo Nghị định này;
b) Quyết định thành lập hoặc cho phép thành lập của cơ quan có thẩm quyền (bản sao kèm bản chính để đối chiếu hoặc bản sao có chứng thực hoặc bản sao điện tử được chứng thực từ bản chính hoặc bản sao điện tử từ sổ gốc hoặc dữ liệu điện tử);
c) Bản sao hoặc dữ liệu điện tử giấy chứng nhận quyền sử dụng đất hoặc quyết định giao đất, cho thuê đất của Ủy ban nhân dân cấp tỉnh kèm theo bản sao biên lai (nộp tiền sử dụng đất hoặc tiền thuê đất) hoặc chứng minh đã hoàn thành nghĩa vụ tài chính về đất đai theo quy định pháp luật về đất đai.
Trường hợp thuê cơ sở vật chất gắn liền với đất: bản sao hợp đồng thuê cơ sở vật chất gắn liền với đất còn thời hạn ít nhất là 05 năm kể từ ngày gửi hồ sơ, bản sao giấy tờ chứng minh quyền sử dụng đất hoặc bản sao giấy tờ chứng minh quyền sở hữu đối với cơ sở vật chất của bên cho thuê;
d) Giấy chứng nhận giáo viên dạy thực hành lái xe (bản sao kèm bản chính để đối chiếu hoặc bản sao có chứng thực hoặc bản sao điện tử được chứng thực từ bản chính hoặc bản sao điện tử từ sổ gốc hoặc dữ liệu điện tử);
đ) Đối với xe tập lái không thuộc quyền sở hữu của cơ sở đào tạo lái xe thì xuất trình bản sao kèm bản chính để đối chiếu hoặc bản sao có chứng thực hoặc bản sao điện tử được chứng thực từ bản chính hoặc dữ liệu điện tử Giấy tờ chứng minh quyền sử dụng hợp pháp.
Trường hợp giấy tờ quy định tại điểm b, điểm c và điểm d khoản này đã được tích hợp vào tài khoản định danh điện tử thì việc xuất trình, kiểm tra có thể thực hiện thông qua tài khoản định danh điện tử.
2. Trình tự thực hiện
a) Sau khi hoàn thành xây dựng cơ sở vật chất, đội ngũ giáo viên đáp ứng yêu cầu điều kiện của cơ sở đào tạo lái xe ô tô; tổ chức, cá nhân lập 01 bộ hồ sơ theo quy định tại khoản 1 Điều này đề nghị cấp phép gửi tại Trung tâm Phục vụ hành chính công cấp tỉnh, cấp xã bằng hình thức trực tiếp hoặc qua dịch vụ bưu chính, hoặc qua cổng dịch vụ công quốc gia;
b) Cơ quan có thẩm quyền cấp giấy phép đào tạo lái xe tiếp nhận, kiểm tra hồ sơ; trường hợp hồ sơ chưa đủ theo quy định, trong thời hạn không quá 02 ngày làm việc phải có văn bản hướng dẫn tổ chức, cá nhân hoàn thiện hồ sơ; trường hợp hồ sơ đủ và hợp lệ theo quy định, trong thời hạn không quá 05 ngày làm việc (kể cả thời gian xác thực điện tử thông tin về xe tập lái, gồm: Chứng nhận đăng ký xe, giấy chứng nhận chất lượng an toàn kỹ thuật và bảo vệ môi trường xe cơ giới) phải tổ chức kiểm tra thực tế cơ sở đào tạo, lập biên bản theo mẫu quy định tại Phụ lục XII kèm theo Nghị định này và cấp giấy phép đào tạo lái xe ô tô cho cơ sở đủ điều kiện. Trường hợp không cấp, phải trả lời bằng văn bản và nêu rõ lý do;
c) Kết quả giải quyết thủ tục hành chính được trả bằng bản điện tử có giá trị như bản giấy bằng một trong các hình thức: qua VNeiD, Cổng Dịch vụ công quốc gia, Hệ thống thông tin giải quyết thủ tục chính cấp tỉnh, cấp xã; trường hợp cá nhân có nhu cầu nhận bản giấy thì được cấp bổ sung.
3. Trong thời hạn 02 ngày làm việc kể từ ngày cơ quan có thẩm quyền cấp giấy phép đào tạo lái xe, cơ quan có thẩm quyền cấp giấy phép đào tạo lái xe gửi bản sao giấy phép đào tạo lái xe kèm biên bản kiểm tra cơ sở đào tạo để Cục Đường bộ Việt Nam thống nhất, cập nhật mã số quản lý cơ sở đào tạo lái xe ô tô lên hệ thống thông tin quản lý, giám sát công tác đào tạo lái xe.
4. Trong thời hạn không quá 01 ngày làm việc, kể từ ngày cấp giấy phép đào tạo lái xe cho cơ sở đào tạo, cơ quan có thẩm quyền cấp giấy phép xe tập lái cấp giấy phép xe tập lái. Trường hợp không cấp, phải trả lời bằng văn bản và nêu rõ lý do.
a) Kết quả giải quyết thủ tục hành chính được trả bằng bản điện tử có giá trị như bản giấy bằng một trong các hình thức: qua VNeiD, Cổng Dịch vụ công quốc gia, Hệ thống thông tin giải quyết thủ tục chính cấp tỉnh, cấp xã; trường hợp cá nhân có nhu cầu nhận bản giấy thì được cấp bổ sung;
b) Cơ quan có thẩm quyền cấp giấy phép xe tập lái lập Sổ theo dõi cấp giấy phép xe tập lái theo mẫu quy định tại Phụ lục IX kèm theo Nghị định này."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,20,Thủ tục cấp lại giấy phép đào tạo lái xe ô tô,"1. Giấy phép đào tạo lái xe ô tô được cấp lại khi điều chỉnh hạng xe đào tạo, lưu lượng đào tạo và thay đổi địa điểm đào tạo
a) Hồ sơ bao gồm các thành phần quy định tại khoản 1 Điều 19 của Nghị định này (chỉ bổ sung những nội dung thay đổi so với lần cấp phép gần nhất);
b) Trình tự thực hiện
Cơ sở đào tạo lập 01 bộ hồ sơ gửi tại Trung tâm Phục vụ hành chính công cấp tỉnh, cấp xã bằng hình thức trực tiếp hoặc qua dịch vụ bưu chính hoặc qua cổng dịch vụ công quốc gia.
Cơ quan có thẩm quyền cấp giấy phép đào tạo lái xe tiếp nhận, kiểm tra hồ sơ; trường hợp chưa đầy đủ, trong thời gian không quá 02 ngày làm việc phải có văn bản hướng dẫn tổ chức, cá nhân hoàn thiện lại theo quy định; trường hợp hồ sơ đầy đủ, hợp lệ, trong thời hạn không quá 05 ngày làm việc phải tổ chức kiểm tra thực tế cơ sở đào tạo và lập biên bản theo mẫu quy định tại Phụ lục XII kèm theo Nghị định này.
Trong thời hạn không quá 03 ngày làm việc kể từ ngày kết thúc kiểm tra, cơ quan có thẩm quyền cấp lại giấy phép đào tạo lái xe ô tô cho cơ sở đào tạo. Trường hợp không cấp, phải trả lời bằng văn bản và nêu rõ lý do;
c) Kết quả giải quyết thủ tục hành chính được trả bằng bản điện tử có giá trị như bản giấy bằng một trong các hình thức: qua VNeiD, Cổng Dịch vụ công quốc gia, Hệ thống thông tin giải quyết thủ tục chính cấp tỉnh, cấp xã; trường hợp cá nhân có nhu cầu nhận bản giấy thì được cấp bổ sung.
2. Giấy phép đào tạo lái xe ô tô được cấp lại khi bị mất, bị hỏng, có sự thay đổi về tên của cơ sở đào tạo
a) Cơ sở đào tạo có văn bản đề nghị cấp lại giấy phép đào tạo lái xe ô tô và nêu rõ lý do hỏng, mất hoặc nội dung cần thay đổi, gửi tại Trung tâm Phục vụ hành chính công cấp tỉnh, cấp xã bằng hình thức trực tiếp hoặc qua dịch vụ bưu chính hoặc qua cổng dịch vụ công quốc gia;
b) Cơ quan có thẩm quyền cấp giấy phép đào tạo lái xe tiếp nhận, kiểm tra hồ sơ; trường hợp hồ sơ chưa đầy đủ, trong thời hạn không quá 01 ngày làm việc phải có văn bản hướng dẫn tổ chức, cá nhân hoàn thiện lại theo quy định; trường hợp hồ sơ đầy đủ, hợp lệ, trong thời hạn không quá 03 ngày làm việc cấp lại giấy phép đào tạo lái xe ô tô cho cơ sở đào tạo; trường hợp không cấp phải trả lời tổ chức, cá nhân bằng văn bản và nêu rõ lý do;
c) Kết quả giải quyết thủ tục hành chính được trả bằng bản điện tử có giá trị như bản giấy bằng một trong các hình thức: qua VNeiD, Cổng Dịch vụ công quốc gia, Hệ thống thông tin giải quyết thủ tục chính cấp tỉnh, cấp xã; trường hợp cá nhân có nhu cầu nhận bản giấy thì được cấp bổ sung.
3. Trong thời hạn 05 ngày làm việc kể từ ngày cơ quan có thẩm quyền cấp giấy phép đào tạo lái xe cấp lại giấy phép đào tạo lái xe, cơ quan có thẩm quyền cấp giấy phép đào tạo lái xe gửi Cục Đường bộ Việt Nam bản sao giấy phép đào tạo lái xe đã cấp kèm biên bản kiểm tra cơ sở đào tạo."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,21,Thu hồi giấy phép đào tạo lái xe ô tô,"1. Cơ sở đào tạo bị thu hồi giấy phép đào tạo lái xe ô tô khi vi phạm một trong các trường hợp sau:
a) Có hành vi gian lận để được thành lập hoặc cấp giấy phép đào tạo lái xe ô tô;
b) Cơ sở đào tạo lái xe không tổ chức hoạt động đào tạo lái xe trong thời gian 24 tháng liên tục;
c) Bị đình chỉ tuyển sinh đào tạo lái xe ô tô từ 02 lần trở lên trong thời gian 18 tháng;
d) Giấy phép được cấp không đúng với thẩm quyền hoặc sai quy định;
đ) Tẩy xóa, sửa chữa làm sai lệch nội dung trên giấy phép được cấp;
e) Cho thuê, cho mượn giấy phép đào tạo lái xe ô tô;
g) Cơ sở đào tạo lái xe giải thể theo quy định của pháp luật.
2. Trình tự thực hiện thu hồi:
a) Trong thời hạn 05 ngày làm việc kể từ ngày phát hiện hành vi vi phạm quy định tại khoản 1 Điều này hoặc giải thể hoạt động đào tạo lái xe, cơ quan có thẩm quyền ban hành quyết định thu hồi giấy phép đào tạo lái xe ô tô, thông báo đến Cục Đường bộ Việt Nam để theo dõi và công bố trên Cổng Dịch vụ công quốc gia, Hệ thống thông tin giải quyết thủ tục chính cấp tỉnh, cấp xã; đồng thời cập nhật hết hiệu lực đối với giấy phép đào tạo lái xe cấp bằng hình thức điện tử;
b) Cơ sở đào tạo lái xe ô tô phải nộp lại giấy phép đào tạo lái xe ô tô cho cơ quan có thẩm quyền cấp giấy phép đào tạo lái xe ô tô, đồng thời dừng toàn bộ các hoạt động đào tạo lái xe ô tô theo giấy phép đã bị thu hồi ngay sau khi quyết định có hiệu lực. Trong trường hợp cơ quan cấp đã sáp nhập, chia tách, giải thể hoặc không còn thẩm quyền cấp, thu hồi giấy phép đào tạo lái xe ô tô thì cơ sở đào tạo lái xe phải nộp lại giấy phép đào tạo lái xe ô tô cho cơ quan đã ban hành quyết định thu hồi."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,22,Giải thể cơ sở đào tạo lái xe,"1. Cơ sở đào tạo lái xe được phép giải thể theo đề nghị của tổ chức, cá nhân thành lập cơ sở đào tạo lái xe đó.
2. Quyết định giải thể cơ sở đào tạo lái xe phải xác định rõ lý do giải thể, các biện pháp bảo đảm lợi ích hợp pháp của giáo viên, viên chức, người học và người lao động. Quyết định giải thể cơ sở đào tạo lái xe phải được công bố công khai trên phương tiện thông tin đại chúng.
3. Người có thẩm quyền thành lập hoặc cho phép thành lập thì có quyền giải thể hoặc cho phép giải thể cơ sở đào tạo lái xe.
4. Cơ sở đào tạo lái xe giải thể thực hiện như sau
a) Cơ sở đào tạo lái xe gửi văn bản thông báo kế hoạch giải thể của cơ quan có thẩm quyền, trong đó nêu rõ lý do bị giải thể kèm theo phương án giải thể tại Trung tâm Phục vụ hành chính công cấp tỉnh, cấp xã bằng hình thức trực tiếp hoặc qua dịch vụ bưu chính hoặc qua cổng dịch vụ công quốc gia ngay khi có kế hoạch giải thể;
b) Phương án giải thể cơ sở đào tạo lái xe bao gồm: phương án giải quyết tài sản; phương án bảo đảm quyền lợi của người học, giáo viên, giảng viên, cán bộ quản lý, nhân viên, người lao động và thực hiện nghĩa vụ về tài chính theo quy định của pháp luật;
c) Trong thời hạn 05 ngày làm việc kể từ ngày ký ban hành quyết định giải thể, lập 01 bộ Hồ sơ gồm: văn bản thông báo giải thể và kèm theo quyết định giải thể của cơ quan có thẩm quyền gửi cơ quan có thẩm quyền cấp giấy phép đào tạo lái xe để theo dõi quản lý."
